Natural Gas (MCF)	Heating Degree Days	Square Feet	Natural Gas (MCM)	Heating Degree Days (Celsius)
74.2	3689	1949	2.101110417	2049.444444
85.7	3484	1456	2.426754215	1935.555556
53	3220	1395	1.500793155	1788.888889
108	6951	3012	3.058220014	3861.666667
105	6000	1196	2.973269458	3333.333333
106.9	7856	1769	3.027071477	4364.444444
88.8	8019	2831	2.514536456	4455
112.7	6249	2193	3.191309218	3471.666667
83	6892	1402	2.350298715	3828.888889
31.4	1356	1271	0.889149152	753.3333333
58.6	1008	2883	1.659367526	560
108.7	3197	1454	3.07804181	1776.111111
62	4823	2689	1.755644823	2679.444444
99.5	6171	2135	2.817526772	3428.333333
75.3	7994	1161	2.132258954	4441.111111
135.2	3577	1125	3.828438388	1987.222222
76.5	3591	1962	2.166239177	1995
83	4365	1101	2.350298715	2425
57	5388	2688	1.614060563	2993.333333
32	1593	738	0.906139263	885
66.9	8087	975	1.894397398	4492.777778
100.3	2819	2702	2.840180254	1566.111111
175.4	3800	1619	4.966775838	2111.111111
154	5788	2712	4.360795205	3215.555556
88.1	6745	3911	2.49471466	3747.222222
204	6722	2486	5.776637804	3734.444444
46.5	1099	746	1.316733617	610.5555556
126	6158	3504	3.56792335	3421.111111
92	5844	2248	2.605150382	3246.666667
63.1	6942	1956	1.78679336	3856.666667
26.8	4338	919	0.758891633	2410
41.6	2701	1650	1.177981042	1500.555556
134.7	6169	2940	3.814279962	3427.222222
187.9	6587	3102	5.320736487	3659.444444
115.8	6724	2301	3.27909146	3735.555556
111.5	4804	999	3.157328996	2668.888889
85.8	5586	1250	2.4295859	3103.333333
213.2	7394	2686	6.037152843	4107.777778
52.2	3539	1739	1.478139673	1966.111111
199.5	5573	2240	5.64921197	3096.111111
164.1	6634	2504	4.64679541	3685.555556
99	6119	3810	2.803368346	3399.444444
49.7	1599	2011	1.407347544	888.3333333
43.2	1491	1917	1.223288006	828.3333333
183.4	7355	1859	5.193310653	4086.111111
75.8	3526	1967	2.14641738	1958.888889
77.1	2999	2669	2.183229288	1666.111111
72.7	1819	1001	2.058635139	1010.555556
77.2	1160	2997	2.186060973	644.4444444
172.4	7944	2099	4.881825282	4413.333333
77.6	3875	4347	2.197387714	2152.777778
147.8	6205	3409	4.185230723	3447.222222
60.5	5825	1451	1.713169545	3236.111111
125.6	7973	3205	3.556596609	4429.444444
86.1	3343	2120	2.438080956	1857.222222
73.4	4060	1089	2.078456935	2255.555556
48.6	1863	1383	1.376199006	1035
74.6	6715	1579	2.112437158	3730.555556
166.4	5862	1820	4.71192417	3256.666667
49.7	3996	1115	1.407347544	2220
78.7	2489	2177	2.228536251	1382.777778
214.2	7865	4364	6.065469695	4369.444444
35.1	2222	1327	0.993921505	1234.444444
69.1	5898	2357	1.956694472	3276.666667
106	6784	3164	3.00158631	3768.888889
81.7	6862	945	2.313486807	3812.222222
141.4	6389	2490	4.00400287	3549.444444
105.9	3370	1454	2.998754625	1872.222222
212.6	6440	1529	6.020162731	3577.777778
31.5	1925	2204	0.891980837	1069.444444
98.7	7583	1153	2.794873291	4212.777778
125.1	8006	1505	3.542438183	4447.777778
51.6	2639	1728	1.461149562	1466.111111
83.5	2772	2313	2.364457141	1540
173.4	6672	2413	4.910142134	3706.666667
68.5	2193	1842	1.939704361	1218.333333
128.4	6290	3367	3.635883794	3494.444444
48.7	6180	1858	1.379030692	3433.333333
90.2	1797	2143	2.554180049	998.3333333
142.3	7841	2376	4.029488037	4356.111111
105.7	4938	1358	2.993091255	2743.333333
70.6	2699	1437	1.99916975	1499.444444
35.6	3754	808	1.008079931	2085.555556
78.2	5428	1402	2.214377825	3015.555556
123.3	6779	2347	3.491467849	3766.111111
153.6	6729	1380	4.349468464	3738.333333
21.2	3260	1495	0.600317262	1811.111111
222.6	6333	3389	6.303331251	3518.333333
91.2	6111	1968	2.582496901	3395
38.8	2682	1267	1.098693857	1490
75	3572	1143	2.123763899	1984.444444
95	4241	2324	2.690100938	2356.111111
53.1	7561	2801	1.50362484	4200.555556
130.5	6542	2281	3.695349184	3634.444444
115.7	6615	1095	3.276259774	3675
121.5	5023	1298	3.440497516	2790.555556
91	3660	1293	2.57683353	2033.333333
51.4	3327	1502	1.455486192	1848.333333
106.9	846	2260	3.027071477	470
145.7	5921	3464	4.125765334	3289.444444
114.6	2991	1366	3.245111237	1661.666667
104.2	3464	1883	2.950615977	1924.444444
97.3	5964	3157	2.755229698	3313.333333
82.4	5979	1820	2.333308603	3321.666667
48.8	4111	2370	1.381862377	2283.888889
134.1	6358	3685	3.797289851	3532.222222
91.4	6092	1155	2.588160271	3384.444444
167	5421	2918	4.728914281	3011.666667
131	8165	1952	3.70950761	4536.111111
107.1	6169	1143	3.032734847	3427.222222
62.2	6089	2171	1.761308193	3382.777778
166.4	5356	2416	4.71192417	2975.555556
85	1736	1378	2.406932418	964.4444444
91.8	2865	1356	2.599487012	1591.666667
190.1	4795	2640	5.383033562	2663.888889
178.6	6845	2788	5.057389764	3802.777778
128.5	2092	2548	3.63871548	1162.222222
57.2	1763	1257	1.619723933	979.4444444
116.1	7583	3211	3.287586515	4212.777778
46	2344	1728	1.302575191	1302.222222
34.1	720	1459	0.965604653	400
35	2077	910	0.991089819	1153.888889
70.1	2703	1156	1.985011324	1501.666667
95.9	8345	2460	2.715586105	4636.111111
69.3	7784	1685	1.962357842	4324.444444
121	7674	3367	3.42633909	4263.333333
124.6	6531	3066	3.528279757	3628.333333
168.6	4006	2022	4.774221244	2225.555556
163.6	5758	1928	4.632636984	3198.888889
95.8	5562	1768	2.71275442	3090
36.1	2296	1150	1.022238357	1275.555556
43.3	1793	1000	1.226119691	996.1111111
88.6	1795	1394	2.508873086	997.2222222
200	6118	2106	5.663370396	3398.888889
125.7	6577	3820	3.559428294	3653.888889
122.6	5998	3947	3.471646053	3332.222222
146.8	6773	2177	4.156913871	3762.777778
139	6785	3492	3.936042425	3769.444444
120.4	8421	2595	3.409348979	4678.333333
69.4	5935	2350	1.965189528	3297.222222
106.9	5951	1468	3.027071477	3306.111111
95.9	2529	1822	2.715586105	1405
68.7	5252	1021	1.945367731	2917.777778
137.1	5973	3192	3.882240407	3318.333333
128.3	8081	3455	3.633052109	4489.444444
68.3	3308	1552	1.93404099	1837.777778
84.9	1606	1354	2.404100733	892.2222222
111.2	7966	1769	3.14883394	4425.555556
74	5883	2711	2.095447047	3268.333333
75.9	2104	1531	2.149249065	1168.888889
21	1071	1699	0.594653892	595
106.3	5785	2149	3.010081366	3213.888889
54.2	3543	1723	1.534773377	1968.333333
